"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 14 04:10:16 GMT 2024","Tue May 14 04:10:22 GMT 2024","6847","setup","auth.setup.ts","","","","authenticate as org owner",""
"passed","Tue May 14 04:12:25 GMT 2024","Tue May 14 04:12:32 GMT 2024","6566","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - edit user","","","group owner",""
"failed","Tue May 14 04:10:39 GMT 2024","Tue May 14 04:11:05 GMT 2024","26177","chromium","UI-Case/Brands/groups.spec.ts","test group case > test - create group","","","orgOwner",""
"passed","Tue May 14 04:12:32 GMT 2024","Tue May 14 04:12:43 GMT 2024","11427","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - edit user","","","brand owner",""
"passed","Tue May 14 04:12:39 GMT 2024","Tue May 14 04:12:51 GMT 2024","11842","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - users tab","","","group owner",""
"passed","Tue May 14 04:10:16 GMT 2024","Tue May 14 04:10:23 GMT 2024","7297","setup","auth.setup.ts","","","","authenticate as brand_owner",""
"passed","Tue May 14 04:14:32 GMT 2024","Tue May 14 04:14:55 GMT 2024","23372","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - billing tab","","","operator",""
"passed","Tue May 14 04:13:57 GMT 2024","Tue May 14 04:14:04 GMT 2024","7349","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - billing tab","","","brand owner",""
"broken","Tue May 14 04:11:30 GMT 2024","Tue May 14 04:12:01 GMT 2024","30595","chromium","UI-Case/Brands/groups.spec.ts","test group case > test - delete group","","","orgOwner",""
"passed","Tue May 14 04:12:42 GMT 2024","Tue May 14 04:13:11 GMT 2024","29069","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - invite user","","","brand owner",""
"broken","Tue May 14 04:13:05 GMT 2024","Tue May 14 04:13:36 GMT 2024","30587","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - invite user","","","org owner",""
"passed","Tue May 14 04:11:07 GMT 2024","Tue May 14 04:11:15 GMT 2024","8654","chromium","UI-Case/KPIs/brand-KPIs.spec.ts","test - brand KPIs > test - KPIs page","","","group owner",""
"failed","Tue May 14 04:14:28 GMT 2024","Tue May 14 04:14:35 GMT 2024","6594","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - billing tab","","","org owner",""
"broken","Tue May 14 04:11:31 GMT 2024","Tue May 14 04:12:02 GMT 2024","31000","chromium","UI-Case/Brands/brandSetting/user.spec.ts","test brand-user case > test - delete user","","","orgOwner",""
