"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 28 07:30:18 GMT 2024","Tue May 28 07:30:25 GMT 2024","7130","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - invite user","","","brand owner",""
"passed","Tue May 28 07:28:24 GMT 2024","Tue May 28 07:28:31 GMT 2024","7871","setup","auth.setup.ts","","","","authenticate as org owner",""
"passed","Tue May 28 07:31:04 GMT 2024","Tue May 28 07:31:30 GMT 2024","26399","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - delete user","","","brand owner",""
"passed","Tue May 28 07:30:48 GMT 2024","Tue May 28 07:31:04 GMT 2024","15742","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - edit user","","","brand owner",""
"passed","Tue May 28 07:29:30 GMT 2024","Tue May 28 07:29:36 GMT 2024","5606","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - general menu","","","group owner",""
"broken","Tue May 28 07:30:56 GMT 2024","Tue May 28 07:31:31 GMT 2024","35482","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - users tab","","","brand owner",""
"passed","Tue May 28 07:29:57 GMT 2024","Tue May 28 07:30:05 GMT 2024","7903","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - users tab","","","org owner",""
"failed","Tue May 28 07:30:00 GMT 2024","Tue May 28 07:30:08 GMT 2024","7244","chromium","UI-Case/KPIs/brand-KPIs.spec.ts","test - brand KPIs > test - KPIs page","","","operator",""
"passed","Tue May 28 07:29:13 GMT 2024","Tue May 28 07:29:15 GMT 2024","2126","chromium","UI-Case/Brands/groups.spec.ts","test group case > test - create group","","","groupOwner",""
"passed","Tue May 28 07:30:08 GMT 2024","Tue May 28 07:30:18 GMT 2024","9452","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - users tab","","","group owner",""
"passed","Tue May 28 07:31:06 GMT 2024","Tue May 28 07:31:11 GMT 2024","5109","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - competitors tab","","","org owner",""
"passed","Tue May 28 07:31:27 GMT 2024","Tue May 28 07:31:33 GMT 2024","6846","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - competitors tab","","","brand owner",""
