"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 14 10:31:53 GMT 2024","Tue May 14 10:31:59 GMT 2024","6199","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - edit user","","","brand owner",""
"failed","Tue May 14 10:31:27 GMT 2024","Tue May 14 10:31:53 GMT 2024","26784","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - users tab","","","org owner",""
"failed","Tue May 14 10:31:51 GMT 2024","Tue May 14 10:32:04 GMT 2024","13455","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - users tab","","","group owner",""
"passed","Tue May 14 10:29:25 GMT 2024","Tue May 14 10:29:28 GMT 2024","2959","chromium","API-Case/Brand.spec.ts","test - brand case > test - move brands to group","","","Org Owner",""
"passed","Tue May 14 10:33:07 GMT 2024","Tue May 14 10:33:12 GMT 2024","5366","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - billing tab","","","brand owner",""
"failed","Tue May 14 10:32:48 GMT 2024","Tue May 14 10:32:56 GMT 2024","8244","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - competitors tab","","","org owner",""
"failed","Tue May 14 10:30:18 GMT 2024","Tue May 14 10:30:36 GMT 2024","17619","chromium","UI-Case/KPIs/brand-KPIs.spec.ts","test - brand KPIs > test - KPIs page","","","group owner",""
"passed","Tue May 14 10:30:37 GMT 2024","Tue May 14 10:30:42 GMT 2024","5429","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - general menu","","","group owner",""
"failed","Tue May 14 10:31:11 GMT 2024","Tue May 14 10:31:21 GMT 2024","10025","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - general menu","","","org owner",""
"passed","Tue May 14 10:29:15 GMT 2024","Tue May 14 10:29:22 GMT 2024","7793","setup","auth.setup.ts","","","","authenticate as org owner",""
"passed","Tue May 14 10:29:25 GMT 2024","Tue May 14 10:29:27 GMT 2024","2427","chromium","UI-Case/Brands/groups.spec.ts","test group case > test - create group","","","groupOwner",""
