"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 14 10:31:30 GMT 2024","Tue May 14 10:31:40 GMT 2024","9272","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - users tab","","","brand owner",""
"passed","Tue May 14 10:31:00 GMT 2024","Tue May 14 10:31:07 GMT 2024","7018","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - general menu","","","operator",""
"passed","Tue May 14 10:31:46 GMT 2024","Tue May 14 10:32:05 GMT 2024","19218","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - edit user","","","group owner",""
"passed","Tue May 14 10:33:09 GMT 2024","Tue May 14 10:33:24 GMT 2024","14901","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - billing tab","","","operator",""
"failed","Tue May 14 10:30:17 GMT 2024","Tue May 14 10:30:24 GMT 2024","7103","chromium","UI-Case/KPIs/brand-KPIs.spec.ts","test - brand KPIs > test - KPIs page","","","org owner",""
"passed","Tue May 14 10:33:04 GMT 2024","Tue May 14 10:33:11 GMT 2024","6694","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - competitors tab","","","brand owner",""
"passed","Tue May 14 10:31:23 GMT 2024","Tue May 14 10:31:34 GMT 2024","10955","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - invite user","","","group owner",""
"passed","Tue May 14 10:32:51 GMT 2024","Tue May 14 10:33:09 GMT 2024","17950","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - competitors tab","","","group owner",""
"broken","Tue May 14 10:30:30 GMT 2024","Tue May 14 10:31:00 GMT 2024","30652","chromium","UI-Case/Brands/brandSetting/user.spec.ts","test brand-user case > test - delete user","","","orgOwner",""
"broken","Tue May 14 10:32:47 GMT 2024","Tue May 14 10:33:18 GMT 2024","30555","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - edit user","","","org owner",""
"broken","Tue May 14 10:30:29 GMT 2024","Tue May 14 10:31:00 GMT 2024","30367","chromium","UI-Case/Brands/brands.spec.ts","test brand case > test - move brands to group","","","orgOwner",""
"passed","Tue May 14 10:32:05 GMT 2024","Tue May 14 10:32:16 GMT 2024","10437","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - delete user","","","brand owner",""
"broken","Tue May 14 10:30:31 GMT 2024","Tue May 14 10:31:01 GMT 2024","30630","chromium","UI-Case/Brands/groups.spec.ts","test group case > test - delete group","","","orgOwner",""
"passed","Tue May 14 10:31:34 GMT 2024","Tue May 14 10:31:46 GMT 2024","12088","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - invite user","","","brand owner",""
"passed","Tue May 14 10:31:59 GMT 2024","Tue May 14 10:32:15 GMT 2024","15885","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - delete user","","","group owner",""
"passed","Tue May 14 10:29:15 GMT 2024","Tue May 14 10:29:23 GMT 2024","7718","setup","auth.setup.ts","","","","authenticate as operator",""
"broken","Tue May 14 10:32:13 GMT 2024","Tue May 14 10:32:45 GMT 2024","31365","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - invite user","","","org owner",""
"passed","Tue May 14 10:29:14 GMT 2024","Tue May 14 10:29:22 GMT 2024","7632","setup","auth.setup.ts","","","","authenticate as brand_owner",""
"failed","Tue May 14 10:29:38 GMT 2024","Tue May 14 10:30:04 GMT 2024","25837","chromium","UI-Case/Brands/groups.spec.ts","test group case > test - create group","","","orgOwner",""
"broken","Tue May 14 10:31:15 GMT 2024","Tue May 14 10:31:51 GMT 2024","35941","chromium","UI-Case/KPIs/brand-KPIs.spec.ts","test - brand KPIs > test - KPIs page","","","operator",""
"passed","Tue May 14 10:32:59 GMT 2024","Tue May 14 10:33:07 GMT 2024","7809","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - billing tab","","","group owner",""
"failed","Tue May 14 10:33:40 GMT 2024","Tue May 14 10:34:05 GMT 2024","25012","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - billing tab","","","org owner",""
"passed","Tue May 14 10:30:42 GMT 2024","Tue May 14 10:31:07 GMT 2024","25003","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - general menu","","","brand owner",""
"passed","Tue May 14 10:30:16 GMT 2024","Tue May 14 10:30:23 GMT 2024","6532","chromium","UI-Case/KPIs/brand-KPIs.spec.ts","test - brand KPIs > test - KPIs page","","","brand owner",""
"passed","Tue May 14 10:32:47 GMT 2024","Tue May 14 10:32:54 GMT 2024","7609","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - competitors tab","","","operator",""
"passed","Tue May 14 10:29:15 GMT 2024","Tue May 14 10:29:22 GMT 2024","7673","setup","auth.setup.ts","","","","authenticate as group_owner",""
"broken","Tue May 14 10:33:01 GMT 2024","Tue May 14 10:33:31 GMT 2024","30580","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - delete user","","","org owner",""
