"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue May 14 02:05:32 GMT 2024","Tue May 14 02:05:58 GMT 2024","26302","chromium","UI-Case/KPIs/brand-KPIs.spec.ts","test - brand KPIs > test - KPIs page","","","org owner",""
"passed","Tue May 14 02:08:46 GMT 2024","Tue May 14 02:08:51 GMT 2024","5682","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - billing tab","","","brand owner",""
"passed","Tue May 14 02:06:56 GMT 2024","Tue May 14 02:07:08 GMT 2024","11576","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - delete user","","","group owner",""
"broken","Tue May 14 02:07:22 GMT 2024","Tue May 14 02:07:53 GMT 2024","30470","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - edit user","","","org owner",""
"passed","Tue May 14 02:05:56 GMT 2024","Tue May 14 02:06:06 GMT 2024","10801","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - general menu","","","brand owner",""
"passed","Tue May 14 02:06:45 GMT 2024","Tue May 14 02:07:06 GMT 2024","21542","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - invite user","","","brand owner",""
"broken","Tue May 14 02:07:13 GMT 2024","Tue May 14 02:07:43 GMT 2024","30493","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - invite user","","","org owner",""
"passed","Tue May 14 02:08:22 GMT 2024","Tue May 14 02:08:47 GMT 2024","24886","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - billing tab","","","operator",""
"passed","Tue May 14 02:05:11 GMT 2024","Tue May 14 02:05:17 GMT 2024","6286","chromium","UI-Case/KPIs/brand-KPIs.spec.ts","test - brand KPIs > test - KPIs page","","","operator",""
"broken","Tue May 14 02:08:48 GMT 2024","Tue May 14 02:09:18 GMT 2024","30887","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - billing tab","","","org owner",""
"passed","Tue May 14 02:04:05 GMT 2024","Tue May 14 02:04:15 GMT 2024","9370","setup","auth.setup.ts","","","","authenticate as brand_owner",""
"passed","Tue May 14 02:05:59 GMT 2024","Tue May 14 02:06:09 GMT 2024","9198","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - users tab","","","group owner",""
"passed","Tue May 14 02:04:17 GMT 2024","Tue May 14 02:04:20 GMT 2024","2697","chromium","API-Case/Brand.spec.ts","test - brand case > test - move brands to group","","","Org Owner",""
"passed","Tue May 14 02:05:57 GMT 2024","Tue May 14 02:06:03 GMT 2024","6698","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - general menu","","","operator",""
