"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 28 07:51:57 GMT 2024","Tue May 28 07:52:13 GMT 2024","15675","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - edit user","","","org owner",""
"passed","Tue May 28 07:50:25 GMT 2024","Tue May 28 07:50:33 GMT 2024","8630","setup","auth.setup.ts","","","","authenticate as brand_owner",""
"passed","Tue May 28 07:52:39 GMT 2024","Tue May 28 07:52:53 GMT 2024","14785","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - edit user","","","group owner",""
"passed","Tue May 28 07:50:36 GMT 2024","Tue May 28 07:50:38 GMT 2024","2910","chromium","API-Case/Brand.spec.ts","test - brand case > test - move brands to group","","","Org Owner",""
"passed","Tue May 28 07:52:59 GMT 2024","Tue May 28 07:53:05 GMT 2024","5983","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - competitors tab","","","operator",""
"passed","Tue May 28 07:51:57 GMT 2024","Tue May 28 07:52:10 GMT 2024","12356","chromium","UI-Case/Brands/groups.spec.ts","test group case > test - delete group","","","orgOwner",""
"passed","Tue May 28 07:51:25 GMT 2024","Tue May 28 07:51:31 GMT 2024","5844","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - general menu","","","operator",""
"passed","Tue May 28 07:50:36 GMT 2024","Tue May 28 07:50:43 GMT 2024","7967","chromium","UI-Case/Brands/groups.spec.ts","test group case > test - create group","","","orgOwner",""
"passed","Tue May 28 07:52:53 GMT 2024","Tue May 28 07:53:01 GMT 2024","7864","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - competitors tab","","","group owner",""
"passed","Tue May 28 07:50:35 GMT 2024","Tue May 28 07:50:45 GMT 2024","9306","chromium","UI-Case/Brands/brandSetting/user.spec.ts","test brand-user case > test - delete user","","","orgOwner",""
"passed","Tue May 28 07:51:26 GMT 2024","Tue May 28 07:51:33 GMT 2024","6454","chromium","UI-Case/KPIs/brand-KPIs.spec.ts","test - brand KPIs > test - KPIs page","","","operator",""
"passed","Tue May 28 07:51:35 GMT 2024","Tue May 28 07:52:03 GMT 2024","28418","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - invite user","","","org owner",""
"passed","Tue May 28 07:51:17 GMT 2024","Tue May 28 07:51:25 GMT 2024","8413","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - general menu","","","group owner",""
"passed","Tue May 28 07:51:21 GMT 2024","Tue May 28 07:51:28 GMT 2024","6994","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - general menu","","","brand owner",""
"passed","Tue May 28 07:53:05 GMT 2024","Tue May 28 07:53:09 GMT 2024","4458","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - billing tab","","","brand owner",""
"passed","Tue May 28 07:50:25 GMT 2024","Tue May 28 07:50:34 GMT 2024","8874","setup","auth.setup.ts","","","","authenticate as org owner",""
"passed","Tue May 28 07:52:41 GMT 2024","Tue May 28 07:52:56 GMT 2024","15115","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - edit user","","","brand owner",""
"passed","Tue May 28 07:52:20 GMT 2024","Tue May 28 07:52:51 GMT 2024","31386","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - delete user","","","brand owner",""
"passed","Tue May 28 07:51:15 GMT 2024","Tue May 28 07:51:17 GMT 2024","1895","chromium","UI-Case/Brands/groups.spec.ts","test group case > test - create group","","","groupOwner",""
"passed","Tue May 28 07:54:13 GMT 2024","Tue May 28 07:54:18 GMT 2024","5300","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - billing tab","","","org owner",""
"passed","Tue May 28 07:50:36 GMT 2024","Tue May 28 07:50:45 GMT 2024","9311","chromium","UI-Case/Brands/brands.spec.ts","test brand case > test - move brands to group","","","orgOwner",""
"passed","Tue May 28 07:51:14 GMT 2024","Tue May 28 07:51:21 GMT 2024","7036","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - general menu","","","org owner",""
"passed","Tue May 28 07:50:50 GMT 2024","Tue May 28 07:51:14 GMT 2024","24097","chromium","UI-Case/KPIs/brand-KPIs.spec.ts","test - brand KPIs > test - KPIs page","","","brand owner",""
"passed","Tue May 28 07:51:38 GMT 2024","Tue May 28 07:51:57 GMT 2024","19036","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - invite user","","","group owner",""
"passed","Tue May 28 07:51:57 GMT 2024","Tue May 28 07:52:05 GMT 2024","8258","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - invite user","","","brand owner",""
"passed","Tue May 28 07:50:25 GMT 2024","Tue May 28 07:50:34 GMT 2024","9315","setup","auth.setup.ts","","","","authenticate as group_owner",""
"passed","Tue May 28 07:51:28 GMT 2024","Tue May 28 07:51:35 GMT 2024","6369","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - users tab","","","org owner",""
"passed","Tue May 28 07:50:45 GMT 2024","Tue May 28 07:50:51 GMT 2024","5657","chromium","UI-Case/KPIs/brand-KPIs.spec.ts","test - brand KPIs > test - KPIs page","","","group owner",""
"passed","Tue May 28 07:53:07 GMT 2024","Tue May 28 07:53:30 GMT 2024","22830","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - billing tab","","","operator",""
"passed","Tue May 28 07:53:02 GMT 2024","Tue May 28 07:53:07 GMT 2024","5023","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - billing tab","","","group owner",""
"passed","Tue May 28 07:52:13 GMT 2024","Tue May 28 07:52:20 GMT 2024","6701","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - delete user","","","group owner",""
"passed","Tue May 28 07:52:51 GMT 2024","Tue May 28 07:52:59 GMT 2024","7571","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - competitors tab","","","org owner",""
"passed","Tue May 28 07:50:25 GMT 2024","Tue May 28 07:50:34 GMT 2024","9053","setup","auth.setup.ts","","","","authenticate as operator",""
"passed","Tue May 28 07:51:31 GMT 2024","Tue May 28 07:51:57 GMT 2024","26593","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - users tab","","","group owner",""
"passed","Tue May 28 07:53:32 GMT 2024","Tue May 28 07:53:37 GMT 2024","5666","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - competitors tab","","","brand owner",""
"passed","Tue May 28 07:52:47 GMT 2024","Tue May 28 07:53:02 GMT 2024","14906","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - delete user","","","org owner",""
"passed","Tue May 28 07:50:45 GMT 2024","Tue May 28 07:50:50 GMT 2024","5493","chromium","UI-Case/KPIs/brand-KPIs.spec.ts","test - brand KPIs > test - KPIs page","","","org owner",""
"passed","Tue May 28 07:51:33 GMT 2024","Tue May 28 07:51:38 GMT 2024","5074","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - users tab","","","brand owner",""
