"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 28 06:00:41 GMT 2024","Tue May 28 06:00:48 GMT 2024","7495","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - users tab","","","brand owner",""
"passed","Tue May 28 05:59:43 GMT 2024","Tue May 28 05:59:50 GMT 2024","7250","chromium","UI-Case/KPIs/brand-KPIs.spec.ts","test - brand KPIs > test - KPIs page","","","org owner",""
"passed","Tue May 28 06:00:17 GMT 2024","Tue May 28 06:00:22 GMT 2024","4833","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - general menu","","","operator",""
"passed","Tue May 28 06:01:01 GMT 2024","Tue May 28 06:01:08 GMT 2024","6403","chromium","UI-Case/KPIs/brand-KPIs.spec.ts","test - brand KPIs > test - KPIs page","","","operator",""
"passed","Tue May 28 06:01:39 GMT 2024","Tue May 28 06:01:50 GMT 2024","10690","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - edit user","","","group owner",""
"passed","Tue May 28 06:02:04 GMT 2024","Tue May 28 06:02:11 GMT 2024","6498","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - competitors tab","","","operator",""
"passed","Tue May 28 05:59:15 GMT 2024","Tue May 28 05:59:23 GMT 2024","8819","setup","auth.setup.ts","","","","authenticate as operator",""
"passed","Tue May 28 05:59:25 GMT 2024","Tue May 28 05:59:33 GMT 2024","8264","chromium","UI-Case/Brands/groups.spec.ts","test group case > test - create group","","","orgOwner",""
"passed","Tue May 28 06:01:04 GMT 2024","Tue May 28 06:01:13 GMT 2024","8572","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - edit user","","","org owner",""
"passed","Tue May 28 06:02:11 GMT 2024","Tue May 28 06:02:36 GMT 2024","25498","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - billing tab","","","org owner",""
"passed","Tue May 28 06:02:07 GMT 2024","Tue May 28 06:02:20 GMT 2024","13040","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - delete user","","","group owner",""
