"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 28 10:38:57 GMT 2024","Tue May 28 10:39:03 GMT 2024","5997","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - general menu","","","group owner",""
"passed","Tue May 28 10:38:56 GMT 2024","Tue May 28 10:39:21 GMT 2024","25228","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - general menu","","","org owner",""
"passed","Tue May 28 10:39:58 GMT 2024","Tue May 28 10:40:08 GMT 2024","9473","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - delete user","","","group owner",""
"passed","Tue May 28 10:40:36 GMT 2024","Tue May 28 10:40:44 GMT 2024","7897","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - competitors tab","","","operator",""
"passed","Tue May 28 10:38:50 GMT 2024","Tue May 28 10:38:56 GMT 2024","6605","chromium","UI-Case/KPIs/brand-KPIs.spec.ts","test - brand KPIs > test - KPIs page","","","group owner",""
"passed","Tue May 28 10:39:23 GMT 2024","Tue May 28 10:39:29 GMT 2024","6135","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - invite user","","","org owner",""
"passed","Tue May 28 10:38:54 GMT 2024","Tue May 28 10:39:00 GMT 2024","6379","chromium","UI-Case/KPIs/brand-KPIs.spec.ts","test - brand KPIs > test - KPIs page","","","operator",""
"passed","Tue May 28 10:39:15 GMT 2024","Tue May 28 10:39:23 GMT 2024","7688","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - users tab","","","org owner",""
"passed","Tue May 28 10:40:31 GMT 2024","Tue May 28 10:40:36 GMT 2024","5603","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - competitors tab","","","brand owner",""
"passed","Tue May 28 10:38:40 GMT 2024","Tue May 28 10:38:50 GMT 2024","9969","chromium","UI-Case/Brands/brandSetting/user.spec.ts","test brand-user case > test - delete user","","","orgOwner",""
"passed","Tue May 28 10:38:48 GMT 2024","Tue May 28 10:38:54 GMT 2024","6077","chromium","UI-Case/KPIs/brand-KPIs.spec.ts","test - brand KPIs > test - KPIs page","","","org owner",""
"passed","Tue May 28 10:38:40 GMT 2024","Tue May 28 10:38:43 GMT 2024","2846","chromium","API-Case/Brand.spec.ts","test - brand case > test - move brands to group","","","Org Owner",""
"passed","Tue May 28 10:39:39 GMT 2024","Tue May 28 10:39:48 GMT 2024","8820","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - edit user","","","org owner",""
"passed","Tue May 28 10:39:21 GMT 2024","Tue May 28 10:39:39 GMT 2024","17955","chromium","UI-Case/Brands/groups.spec.ts","test group case > test - delete group","","","orgOwner",""
"passed","Tue May 28 10:38:31 GMT 2024","Tue May 28 10:38:38 GMT 2024","7649","setup","auth.setup.ts","","","","authenticate as operator",""
"passed","Tue May 28 10:41:20 GMT 2024","Tue May 28 10:41:25 GMT 2024","5238","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - competitors tab","","","org owner",""
"passed","Tue May 28 10:39:21 GMT 2024","Tue May 28 10:39:39 GMT 2024","17852","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - users tab","","","brand owner",""
"passed","Tue May 28 10:39:48 GMT 2024","Tue May 28 10:39:54 GMT 2024","6077","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - edit user","","","brand owner",""
"passed","Tue May 28 10:38:31 GMT 2024","Tue May 28 10:38:39 GMT 2024","8093","setup","auth.setup.ts","","","","authenticate as org owner",""
"passed","Tue May 28 10:38:43 GMT 2024","Tue May 28 10:38:45 GMT 2024","1791","chromium","UI-Case/Brands/groups.spec.ts","test group case > test - create group","","","groupOwner",""
"passed","Tue May 28 10:40:10 GMT 2024","Tue May 28 10:40:31 GMT 2024","20899","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - competitors tab","","","group owner",""
"passed","Tue May 28 10:40:19 GMT 2024","Tue May 28 10:40:38 GMT 2024","18928","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - edit user","","","group owner",""
"passed","Tue May 28 10:39:00 GMT 2024","Tue May 28 10:39:15 GMT 2024","14861","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - general menu","","","brand owner",""
"passed","Tue May 28 10:41:14 GMT 2024","Tue May 28 10:41:19 GMT 2024","5355","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - billing tab","","","org owner",""
"passed","Tue May 28 10:39:03 GMT 2024","Tue May 28 10:39:19 GMT 2024","15537","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - general menu","","","operator",""
"passed","Tue May 28 10:40:01 GMT 2024","Tue May 28 10:40:10 GMT 2024","9058","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - delete user","","","brand owner",""
"passed","Tue May 28 10:40:52 GMT 2024","Tue May 28 10:40:57 GMT 2024","4615","chromium","UI-Case/orgSettings.spec.ts","test - orgsettings cases > test - billing tab","","","operator",""
